Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
United States,USA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,..,22.4543862190713,19.4169009561953,19.1559852455803,19.2582012817269,19.328829963324,18.5291207937965,17.9817052895567,18.3439378552145,18.6386016520302,..,..
United States,USA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,9.25473206751338,10.6927239610622,13.5305390136184,13.5289189711659,13.5445244306501,13.5315904003143,12.4329149340103,11.9005006474783,12.1651568872038,12.2870960552449,11.7329561121597,..
United States,USA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,10.5603185165409,14.3509112638306,17.2587550423633,17.0392649736644,16.4684827830252,16.4279974222036,15.3222402546683,14.6390156390508,15.0112193581537,15.2484919172476,14.5811974361676,..
United States,USA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,21.5292134484762,23.6751483699321,19.1035258566922,20.0208898479027,20.4137431322085,20.806247168447,21.1787412668735,20.4476519853189,20.5716596120994,21.0724797436092,21.0142887496264,..
United States,USA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,18.2058323595741,20.573341070162,16.6950134127478,16.8104189948898,18.8714206664118,18.9428464169998,19.0852011424993,18.6804118176014,19.5181149955874,17.5123645259692,17.4547233346954,..
United States,USA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,6.2,5.6,5.6,5.6,5.6,5.6,4.2,..
United States,USA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,145.621236294368,191.566388562792,220.092548058458,222.106191035716,230.843351289607,233.086435243288,226.972677568304,232.239646989153,241.647441768539,228.69507183274,242.878718959167,..
United States,USA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,10.4652847558268,12.9690323513663,9.57400376451656,9.79825572591336,10.519948552298,10.9478500537277,11.2174965949681,10.9022837417003,11.7250147526042,9.91123840728728,10.021108814884,..
United States,USA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,5.60517529438794,3.11224214697679,4.84017399490275,4.47740121867267,4.04667887867098,3.69589111827138,3.47784616819686,3.41894060128079,3.31338528335912,3.3162444576718,3.41310666834644,..
United States,USA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2.095449994,38.86183584,95.44904589,97.06859919,98.19768385,111.5562164,119.1439209,122.5945483,123.0448345,129.0140075,134.4588794,..
United States,USA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,20.9845794757797,20.5594043226112,20.526846085317,20.8607973528068,21.7598671248231,22.7237471373984,19.5199016960383,18.7417405398469,18.9335479863635,..
United States,USA,Statistical Capacity score (Overall average),IQ.SCI.OVRL,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,15.2701158985931,19.9097660839416,24.1178217113198,23.968791989464,23.2867924778941,23.0104486395053,20.9488884309171,19.7765044306929,20.2606554622803,20.7879970154028,19.6452274613257,..
United States,USA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,102.7027027,100,94.59459459,94.68085106,95.34050179,95.86956522,100,100.0834725,99.594485,99.84264359,100.3187251,..
United States,USA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Net migration,SM.POP.NETM,..,..,..,4961716,..,..,..,..,4774029,..,..,..
United States,USA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1170000000,4395000000,6104000000,6303000000,6613000000,6503000000,6578000000,6330000000,6347000000,6651000000,6724000000,..
United States,USA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,71230000000,349125000000,263497000000,250345000000,288131000000,251856000000,511434000000,474388000000,366995000000,261482000000,351631000000,..
United States,USA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/26/2021,,,,,,,,,,,,,,,
